startstation_name,total_trips,avg_daily_trips,peak_hour_departure_ratio,weekend_usage_ratio,id,latitude,longitude,nbDocks,early_peak_zero_days_ratio,spatial_density_index,turnover_rate
"Chapel Place, Marylebone",11711,31.99726775956284,0.5057398630858346,0.1605055292259083,BikePoints_141,51.515308,-0.147203,29.0,0.2938931297709923,8,1.1033540606745806
"Charing Cross Hospital, Hammersmith",10286,28.103825136612024,0.4568469505178366,0.179861910241657,BikePoints_696,51.487285,-0.217995,21.0,0.1793893129770992,7,1.3382773874577154
"Charlbert Street, St. John's Wood",6852,18.72131147540984,0.4964357521476878,0.2610126119539389,BikePoints_7,51.5343,-0.168074,16.0,0.183206106870229,3,1.170081967213115
"Charles II Street, West End",10135,27.69125683060109,0.4625808814552558,0.2298864607496032,BikePoints_226,51.508446,-0.131961,24.0,0.4847328244274809,7,1.1538023679417122
"Charlotte Street, Fitzrovia",8625,23.5655737704918,0.3805434323525271,0.1976629593129663,BikePoints_381,51.51953,-0.135777,14.0,0.2251908396946564,10,1.683255269320843
"Charlotte Terrace, Angel",7474,20.420765027322403,0.5328407224958949,0.2239737274220032,BikePoints_697,51.536392,-0.112721,25.0,0.1717557251908397,4,0.8168306010928962
"Cheapside, Bank",26438,72.23497267759562,0.5531944508885074,0.1146940101146012,BikePoints_427,51.51397,-0.09294,43.0,0.1755725190839694,11,1.6798830855254796
"Chelsea Bridge, Pimlico",6396,17.475409836065573,0.3843385880740233,0.3432145305003427,BikePoints_419,51.485821,-0.149004,15.0,0.2938931297709923,2,1.1650273224043717
"Chelsea Green, Chelsea",7391,20.193989071038253,0.4654769846564376,0.2281521014009339,BikePoints_220,51.490664,-0.166485,15.0,0.2061068702290076,8,1.3462659380692168
"Chepstow Villas, Notting Hill",9371,25.603825136612024,0.4224002100840336,0.3381039915966387,BikePoints_151,51.512136,-0.201554,26.0,0.183206106870229,6,0.9847625052543086
"Cheshire Street, Bethnal Green",7476,20.42622950819672,0.4629329880220136,0.2377792165749433,BikePoints_445,51.52388,-0.065076,28.0,0.1717557251908397,5,0.7295081967213114
"Chesilton Road, Fulham",9911,27.0792349726776,0.4816552387826296,0.2705401178876458,BikePoints_727,51.475698,-0.205876,23.0,0.1755725190839694,3,1.1773580422903305
"Chicheley Street, South Bank",17182,46.94535519125683,0.5130545372933343,0.2255554724321089,BikePoints_672,51.502698,-0.116747,24.0,0.1946564885496183,12,1.956056466302368
